Marke;Kostenstelle;erpId;orderId;Bestellnummer;Bestelldatum;Versuche;Erster Fehler (UTC);Letzter Fehler (UTC);Angefragter Pfad
Enchilada;Bar Enchilada Augsburg;10262;255342;170;2024-02-12;4;2026-08-03T22:28:42.593Z;2026-08-03T23:08:51.762Z;/api/10262/shop-order/255342/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;259442;174;2024-02-27;4;2026-08-03T22:27:08.154Z;2026-08-03T23:09:15.929Z;/api/10262/shop-order/259442/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;261608;177;2024-03-06;4;2026-08-03T22:26:25.847Z;2026-08-03T23:07:36.057Z;/api/10262/shop-order/261608/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;263500;178;2024-03-12;4;2026-08-03T22:25:59.229Z;2026-08-03T23:05:08.645Z;/api/10262/shop-order/263500/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;263632;179;2024-03-13;4;2026-08-03T22:25:52.037Z;2026-08-03T23:01:04.359Z;/api/10262/shop-order/263632/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;265465;180;2024-03-19;4;2026-08-03T22:25:12.322Z;2026-08-03T22:51:20.867Z;/api/10262/shop-order/265465/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;267151;182;2024-03-26;4;2026-08-03T22:24:23.935Z;2026-08-03T23:06:36.494Z;/api/10262/shop-order/267151/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;268895;184;2024-04-03;4;2026-08-03T22:23:55.633Z;2026-08-03T23:10:04.953Z;/api/10262/shop-order/268895/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;269207;186;2024-04-03;4;2026-08-03T22:23:46.892Z;2026-08-03T22:56:54.057Z;/api/10262/shop-order/269207/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;271229;188;2024-04-10;4;2026-08-03T22:23:08.592Z;2026-08-03T23:04:17.257Z;/api/10262/shop-order/271229/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;273217;191;2024-04-17;4;2026-08-03T22:22:35.363Z;2026-08-03T23:03:43.477Z;/api/10262/shop-order/273217/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;276623;195;2024-04-29;4;2026-08-03T22:21:40.499Z;2026-08-03T22:47:50.199Z;/api/10262/shop-order/276623/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;278404;197;2024-05-06;4;2026-08-03T22:21:11.279Z;2026-08-03T22:46:24.061Z;/api/10262/shop-order/278404/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;284321;205;2024-05-28;4;2026-08-03T22:18:49.468Z;2026-08-03T23:04:59.178Z;/api/10262/shop-order/284321/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;290509;210;2024-06-18;4;2026-08-03T22:17:21.381Z;2026-08-03T22:45:29.908Z;/api/10262/shop-order/290509/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;290893;211;2024-06-19;4;2026-08-03T22:17:13.406Z;2026-08-03T22:50:25.708Z;/api/10262/shop-order/290893/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;293070;213;2024-06-26;4;2026-08-03T22:16:54.141Z;2026-08-03T23:00:03.892Z;/api/10262/shop-order/293070/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;296247;218;2024-07-08;4;2026-08-03T22:16:11.647Z;2026-08-03T22:48:23.325Z;/api/10262/shop-order/296247/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;303521;227;2024-08-01;4;2026-08-03T22:14:35.694Z;2026-08-03T22:44:45.752Z;/api/10262/shop-order/303521/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;307195;230;2024-08-13;4;2026-08-03T22:14:08.097Z;2026-08-03T22:57:19.000Z;/api/10262/shop-order/307195/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;309327;232;2024-08-20;4;2026-08-03T22:13:51.798Z;2026-08-03T22:40:05.635Z;/api/10262/shop-order/309327/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;311476;234;2024-08-27;4;2026-08-03T22:13:35.381Z;2026-08-03T22:53:43.680Z;/api/10262/shop-order/311476/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;320745;243;2024-09-25;4;2026-08-03T22:11:57.793Z;2026-08-03T22:46:06.197Z;/api/10262/shop-order/320745/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;326514;250;2024-10-16;4;2026-08-03T22:10:53.147Z;2026-08-03T22:40:03.688Z;/api/10262/shop-order/326514/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;332169;257;2024-11-06;4;2026-08-03T22:09:42.273Z;2026-08-03T22:52:51.126Z;/api/10262/shop-order/332169/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;332471;258;2024-11-07;4;2026-08-03T22:09:36.070Z;2026-08-03T22:39:49.775Z;/api/10262/shop-order/332471/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;336395;262;2024-11-20;4;2026-08-03T22:08:50.399Z;2026-08-03T22:41:59.872Z;/api/10262/shop-order/336395/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;340285;265;2024-12-03;4;2026-08-03T22:08:07.290Z;2026-08-03T22:46:19.881Z;/api/10262/shop-order/340285/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;340771;266;2024-12-05;4;2026-08-03T22:07:57.690Z;2026-08-03T22:39:07.861Z;/api/10262/shop-order/340771/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;345650;271;2024-12-20;4;2026-08-03T22:06:45.508Z;2026-08-03T22:36:58.881Z;/api/10262/shop-order/345650/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;351385;276;2025-01-15;4;2026-08-03T22:05:35.842Z;2026-08-03T22:35:47.823Z;/api/10262/shop-order/351385/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;356598;281;2025-02-03;4;2026-08-03T22:04:06.387Z;2026-08-03T22:27:16.573Z;/api/10262/shop-order/356598/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;356601;282;2025-02-03;4;2026-08-03T22:04:15.148Z;2026-08-03T22:40:25.949Z;/api/10262/shop-order/356601/change?order_by=name
